category_code,category_type,category_name
1000,parent,SPORTS TRADING CARDS
1010,child,HOCKEY TRADING CARDS
1011,child,HOCKEY ACTION FIGURES
1020,child,BASEBALL TRADING CARDS
1021,child,BASEBALL ACTION FIGURES
1030,child,FOOTBALL TRADING CARDS
1040,child,BASKETBALL TRADING CARDS
1050,child,RACING TRADING CARDS
1060,child,TENNIS TRADING CARDS
1070,child,SOCCER TRADING CARDS
1080,child,GOLF TRADING CARDS
1095,child,MISC. SPORTS CARDS
1500,parent,NON-SPORTS TRADING CARDS
1524,child,CRYPTOZOIC T/C
1530,child,DONRUSS/PLAYOFF ENT.
1509,child,DYNAMITE
1510,child,RITTENHOUSE
1520,child,TOPPS ENT T/C
1525,child,UPPER DECK ENT T/C
1535,child,BENCHWARMERS/PLAYBOY
1515,child,INKWORKS
1595,child,MISC. NON SPORTS T/C
2000,parent,TRADING CARD GAMES
2010,child,MAGIC THE GATHERING
2015,child,YU-GI-OH!
2020,child,POKEMON
2021,child,BUSHIROAD
2026,child,FORCE OF WILL
2033,child,JASCO CCGs
2012,child,PLAY FUSION
2024,child,CRYPTOZOIC TCG
2023,child,KAIJUDO
2035,child,UPPER DECK ENT CCGS
2030,child,WORLD OF WARCRAFT
2031,child,AEG CCGS
2045,child,BANDAI
2050,child,DECIPHER
2040,child,WOTC - CCGS
2025,child,CHAOTIC
2095,child,MISC. TCGS
2048,child,REDAKAI
3000,parent,COLLECTIBLE MINIATURE GAMES
3025,child,PRIVATEER
3026,child,PRIVATEER - DISCOUNTED
3027,child,PRIVATEER EVENT KITS
3031,child,PRIVATEER PAINTS
3036,child,BATTLE FOAM
3004,child,CORVUS BELLI
3022,child,D&D ATTACK WING
3024,child,DICE MASTERS
3039,child,FRONTLINE GAMING
3029,child,GALE FORCE NINE MINIATURES
3015,child,HEROCLIX
3019,child,MINI WAR GAMING
3021,child,PARA BELLUM WARGAMES
3037,child,PLAST CRAFT
3040,child,PRODOS GAMES
3023,child,STAR TREK ATTACK WING
3038,child,TABLE WAR
3020,child,WIZKIDS
3028,child,WYRD MINIATURES
3012,child,AXIS & ALLIES MINIS
3005,child,D&D MINIS
3014,child,COMPOUND FUN
3032,child,RAL PARTHA
3030,child,REAPER & IRON WIND METAL
3010,child,STAR WARS MINIS
3035,child,WOW MINIS
3095,child,MISC. CMGS
3090,child,MISC. MINIATURES
4000,parent,BOARDGAMES
4008,child,ACADEMY GAMES
4018,child,ALDERAC ENTERTAINMENT GROUP
4007,child,ANALOG GAME STUDIOS
4004,child,ANKAMA
4039,child,ARCANE WONDERS
4064,child,ARES GAMES
4082,child,ATLAS GAMES
4025,child,AVALON HILL/HASBRO/WOTC
4072,child,BEZIER GAMES
4034,child,BICYCLE
4083,child,BREAKING GAMES
4071,child,BROKEN TOKEN
4033,child,BROTHERWISE
4016,child,CALLIOPE GAMES
4003,child,CAPSTONE GAMES
4078,child,CARDS AGAINST HUMANITY
4024,child,CATAN STUDIO
4002,child,CERTIFIABLE STUDIOS
4080,child,CHEAPASS GAMES
4023,child,CMON
