No_,Description,Item Category Code,Product Group Code,Tax Group Code
0 628347440220,LD GLITTER BLACK DICE (24),6006,,TAXABLE
0 628347440350,LD GLOW IN THE DARK ORIGINAL DICE (24),6006,,TAXABLE
000040002583,ARS MAGICA: WIZARDS GRIMOIRE,5014,,GSTONLY
000040012100,CULTS ACROSS AMERICA,4082,,TAXABLE
00045557144302,NARUTO TIN 2007,2045,,TAXABLE
00045557144326,NARUTO SECRET OF THE MASTER TIN,2045,,TAXABLE
00045557144340,NARUTO UNSTOPPABLE FORCE TIN (TIN #3 (5/12),2045,,TAXABLE
00045557239305,BEN 10 CCG,2045,,TAXABLE
00045557239329,BEN 10 #2 (9/36/1),2045,,TAXABLE
00045557239756,NARUTO GUARDIAN TIN (12CT),2045,,TAXABLE
00045557239770,NARUTO UNBOUND POWER COLLECTIBLE TINS (12/1),2045,,TAXABLE
00045557239855,NARUTO REBIRTH COLLECTIBLE TINS (12),2045,,TAXABLE
0015568001581,BEMUSED CARD GAME (28),4095,,TAXABLE
0015568001598,DUHR: THE LESSER HOUSES CARD GAME (28),4095,,TAXABLE
0015568001604,SHADOWS OF MALICE REVISED,4095,,TAXABLE
001933105169,ADVENTURE MAXIMUS MASTER SCREEN,5028,,TAXABLE
00422781901496,"PSA NHL FIGURE 3"" FOIL BAG S4 20CT PDQ",1011,,TAXABLE
00630509501601,"MARVEL LEGENDS:GOTG VOL 2/WAVE 1 6"" FIG.  ASST.(8)",7545,,TAXABLE
00630509522477,"MARVEL LEGENDS:GOTG VOL.2 DR STRANGE 3.75"" 2PK (6)",7545,,TAXABLE
00630509749744,TRANSFORMERS TCG AUTOBOTS STARTER DISPLAY (6),2040,,TAXABLE
00630509777501,MTG CORE 2020 PRERELEASE PACK (18),2010,PRE-RELEAS,TAXABLE
00630509787043,MTG JAPANESE THRONE OF ELDRAINE PLANESWALKER DECK,2010,FOREIGN,TAXABLE
00630509787272,MTG THRONE OF ELDRAINE PRERELEASE PACK (18),2010,PRE-RELEAS,TAXABLE
00630509904990,MTG IKORIA LAIR OF BEHEMOTHS PRERELEASE PACK (18),2010,PRE-RELEAS,TAXABLE
00653569562177,HEROSCAPE WAVE 13 D&D3 MOLTENCLAW'S INVASION(4),4025,,TAXABLE
00672781799925,"PSA NHL FIGURE 3"" SERIES 2 BOOSTER (20)",1011,15/16,TAXABLE
00787,MCFARLANE MLB ELITE TEAM ASST PHILLIES(8),7505,,TAXABLE
00787926102505,BORDERLANDS FIGURE ASSORTMENT (8),7505,,TAXABLE
00787926105605,"STRANGER THINGS S3 7"" FIGURE ASSORTED (1)",7505,,TAXABLE
00787926106503,"MCF GAME OF THRONES S7 6"" ASSORTED FIGURES (8)",7505,,TAXABLE
00787926130201,"STRANGER THINGS ACTION FIGURES 7""-ASSORTED (8)",7505,,TAXABLE
00787926130652,"MCF NBA 7"" SERIES 32 FIGURE ASSORTED (8)",1041,,TAXABLE
00787926153101,LOST SERIES 2 ACTION FIGURE ASSORTMENT (12),7505,,TAXABLE
00787926184204,HALO SERIES 5 (8CT),7505,,TAXABLE
00787926184600,MCFARLANE HALO SERIES 6 (8),7505,,TAXABLE
00787926184808,HALO SERIES 7 (8),7505,,TAXABLE
00787926185508,HALO: REACH SERIES 1 (8),7505,,TAXABLE
00787926186109,HALO ODD PODS SER.1,7505,,TAXABLE
00787926186208,HALO ODD PODS SERIES 2 (8),7505,,TAXABLE
00787926186307,HALO: REACH SERIES 2 (8),7505,,TAXABLE
